title,sku,price,retail_price,category,sub_category,description,width,height,depth,tags,brand,designer,images
Mid Century Walnut Stemmed Table Lamp,6747351777412,725.0,,lighting,lighting,"Origin: USA. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Walnut, Steel. Measurements: 19″ diameter (shade) x 27″ tall Condition: In excellent original condition.",,27,,"1960s, AGE, diameter, diameter:19, height:27, lamp, model, modern, space age, steel, table, table lamp, walnut",,,"https://midcenturymobler.com/cdn/shop/products/DSC_2073.jpg?v=1646116293, https://midcenturymobler.com/cdn/shop/products/DSC_2077.jpg?v=1646116290, https://midcenturymobler.com/cdn/shop/products/DSC_2079_6e290509-6cee-4ddc-811c-1296f45d002f.jpg?v=1646116290"
'Moduline' Lounge Chair In Teak + Brown Leather,6710653354116,1800.0,,seating,seating,"Origin: Denmark. Designer: Ole Gjerløv-Knudsen &amp; Torben Lind. Manufacturer: Cado. Era: 1960s. Materials: Teak, Leather. Measurements: 28″ wide x 30″ deep x 30″ tall Condition: Frame in excellent original condition. Leather is in original condition with some light fading",28,30,30,"depth:30, dresser, height :30, moduline, teak, width:28",Cado,Ole Gjerløv-Knudsen & Torben Lind,"https://midcenturymobler.com/cdn/shop/products/DA11895_df2321d5-4cb6-434c-9d93-7b0201dac09c.jpg?v=1655331783, https://midcenturymobler.com/cdn/shop/products/DA11895e.jpg?v=1655331783"
Grete Jalk Model 128 Three Seat Sofa In Teak,7278952579204,6250.0,,seating,SOFA,Origin: Denmark. Designer: Grete Jalk. Manufacturer: France + Søn. Era: 1956. Dimensions: 81″ wide x 30.5″ deep x 29.5″ tall. Seat: 16.5″ tall,81,29.5,30.5,"depth:30.5, france and son, height:29.5, mid century, midcentury, new, restore, restored, seating, settee, sofa, sofas, teak, upholstery, width:81",France + Søn,Grete Jalk,"https://midcenturymobler.com/cdn/shop/files/DSC_3611.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3615.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3617.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3629.jpg?v=1720209817, https://midcenturymobler.com/cdn/shop/files/DSC_3632.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3635.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3639.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3645.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3600.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3604.jpg?v=1720209818, https://midcenturymobler.com/cdn/shop/files/DSC_3605_5c130857-73cb-4635-8009-cec833c3ba7d.jpg?v=1720209818"
1950S Harp Shaped Mirror In Teak,6710730195076,925.0,,accessories,accessories,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Teak, Glass. Measurements: 16″ wide x 25″ tall Condition: In excellent original condition.",16,25,,"1960s, 2021, danish, danish modern, denmark, glass, HARP SHAPED MIRROR, height:25, mirror, modern, October, October 2021, PRE-ORDER, teak, width:16",,,"https://midcenturymobler.com/cdn/shop/products/DA12339.jpg?v=1642633686, https://midcenturymobler.com/cdn/shop/products/DA12339b.jpg?v=1642633686, https://midcenturymobler.com/cdn/shop/products/DA12339c.jpg?v=1642633686, https://midcenturymobler.com/cdn/shop/products/DA12339d.jpg?v=1642633686"
Set Of Six Highback Oak Dining Chairs By Henry Kjaernulf,7013413879940,3900.0,,seating,DINING CHAIRS,"Origin: Denmark. Designer: Henry Kjærnulf. Manufacturer: EG Kvalitetsmøbler. Era: 1970s. Materials: Oak. Measurements: 20"" wide x 20"" deep x 37"" tall Condition: In excellent original condition.",20,37,20,"2023, CHAIRS, DA12910, DANISH MODERN, DENMARK, EG Kvalitetsmøbler, Henry Kjærnulf, June2023, Oak",EG Kvalitetsmøbler,Henry Kjærnulf,"https://midcenturymobler.com/cdn/shop/products/DA12910.jpg?v=1667644831, https://midcenturymobler.com/cdn/shop/products/DA12910b.jpg?v=1667644831, https://midcenturymobler.com/cdn/shop/products/DA12910c.jpg?v=1667644831"
Swedish Modern Side Table In Teak,7160652529796,725.0,,tables,SIDE TABLE,Origin: SwedenDesigner: UnknownManufacturer: UnknownEra: 1960sMaterials: TeakMeasurements: 19.5″ wide x 14″ deep x 14″ tall,19.5,14,14,"depth:14, height:14, restored, side, side table, side tables, small, table, tables, teak, width:19.5",,,"https://midcenturymobler.com/cdn/shop/files/DSC_4610_0842d637-1d5d-4f5d-8247-abe3a67cfb6e.jpg?v=1694200623, https://midcenturymobler.com/cdn/shop/files/DSC_4598_93087df9-4aa5-44d0-977b-2760fc1d067b.jpg?v=1694200623, https://midcenturymobler.com/cdn/shop/files/DSC_4605_48d8b272-881a-400c-9f77-749c6c16c7c8.jpg?v=1694200624, https://midcenturymobler.com/cdn/shop/files/DSC_4608_6109411d-1d8c-4639-a3c2-38c08ffedbb5.jpg?v=1694200624"
Gorgeous Low Tambour Credenza In Rosewood,7015355908228,5895.0,,storage,CREDENZA,Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Rosewood. Measurements: 78.75″ wide x 19.75″ deep x 31.5″ tall,78.75,31.5,19.75,"1960s, 2023, CREDENZA, DA12936, DANISH MODERN, DENMARK, depth:19.75, GORGEOUS LOW TAMBOUR, height:31.5, June2023, May 2023, PRE ORDER, restored, Rosewood, TAMBOUR, width:78.75",,,"https://midcenturymobler.com/cdn/shop/products/DA12936.jpg?v=1667976091, https://midcenturymobler.com/cdn/shop/products/DA12936b.jpg?v=1667976098, https://midcenturymobler.com/cdn/shop/products/DA12936c.jpg?v=1667976098, https://midcenturymobler.com/cdn/shop/products/DA12936cc.jpg?v=1667976097"
Møller Model 77 Dining Chair In Teak With Original Woven Wool Seat,7198016700548,925.0,,seating,DINING CHAIR,"Origin: DenmarkDesigner: Niels Ottom MøllerManufacturer: J.L. MøllerEra: 1960sMaterials: Teak, WoolMeasurements: 19.5"" wide x 17"" deep x 29.5″ tall, Seat: 17.5"" tall Condition: In good original condition with typical wear for its vintage.",19.5,29.5,17,"depth:17, height:29.5, j.l. moller, model 77, moller, niels moller, teak, width:19.5",,,"https://midcenturymobler.com/cdn/shop/files/DSC_5943_7bc3f101-189f-4ffd-ab86-7d695151ad43.jpg?v=1699217345, https://midcenturymobler.com/cdn/shop/files/DSC_5938_4e74304b-f7b5-47eb-88ce-2e749d841d10.jpg?v=1699217344, https://midcenturymobler.com/cdn/shop/files/DSC_5940_d13d42bb-a82b-4d5f-ab2f-d268827ad73f.jpg?v=1699217346, https://midcenturymobler.com/cdn/shop/files/DSC_5947_ba90232d-9237-42de-874b-ffab10ab041b.jpg?v=1699217344, https://midcenturymobler.com/cdn/shop/files/DSC_5949_c2cc1a20-5ab3-4661-92d7-38484d8e2f26.jpg?v=1699217345, https://midcenturymobler.com/cdn/shop/files/DSC_5951.jpg?v=1699217346, https://midcenturymobler.com/cdn/shop/files/DSC_5954_3b6230ea-f806-4df4-b431-1c9e58ef9881.jpg?v=1699217345"
Rare Grete Jalk For Poul Jeppesen Teak + Laminate Dining Table,7286963110020,6800.0,,tables,DINING TABLE,"Origin: Denmark. Designer: Grete Jalk. Manufacturer: Poul Jeppesen. Era: 1960s. Materials: Teak, Laminate. Measurements: 53"" diameter (closed), 74.75"" long (one leaf), 96.5"" long (both leaves) x 53"" deep, x 28.5"" tall",53,28.5,53,"depth:53, grete jalk, height:28.5, jalk, laminate, large, new, pj mobelfabrik, poul jeppesen, rare, restore, restored, round, width:53",Poul Jeppesen,Grete Jalk,"https://midcenturymobler.com/cdn/shop/files/DSC_4735_155cd8b3-0545-4dd3-8426-9d92f58b5a5a.jpg?v=1722313705, https://midcenturymobler.com/cdn/shop/files/DSC_4696.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4700.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4704.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4706.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4710.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4715.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4721.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4725.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4728.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4731.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4739.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4742.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4747.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/DSC_4751.jpg?v=1722313253, https://midcenturymobler.com/cdn/shop/files/IMG_6647.jpg?v=1722313254"
1970S Five Piece Modular Sofa In Fleece + Leather With Reversible Cushions,7190101557380,6800.0,,seating,LEATHER SOFA,"Origin: GermanyDesigner: UnknownManufacturer: UnknownEra: 1970sMaterials: Leather, FleeceSide Chair Measurements: 27″ wide x 35.5″ deep x 28.5″ tall Corner Chair Dimensions: 63″ wide x 39.5″ deep x 28.5″ tall Condition: In excellent original condition with typical wear for its vintage.",27,28.5,35.5,"DENMARK - JANUARY 2024, germany, leather sofa, sofa",,,"https://midcenturymobler.com/cdn/shop/files/DA13169.jpg?v=1698155368, https://midcenturymobler.com/cdn/shop/files/DA13169b.jpg?v=1698155368, https://midcenturymobler.com/cdn/shop/files/DA13169c.jpg?v=1698155367, https://midcenturymobler.com/cdn/shop/files/DA13169d.jpg?v=1698155366, https://midcenturymobler.com/cdn/shop/files/DA13169e.jpg?v=1698155369, https://midcenturymobler.com/cdn/shop/files/DA13169g.jpg?v=1698155365, https://midcenturymobler.com/cdn/shop/files/DA13169f.jpg?v=1698155365, https://midcenturymobler.com/cdn/shop/files/DA13169h.jpg?v=1698155367"
"Nils Jonsson ""Oden"" Tambour Credenza In Teak With Exposed Finger Joints",7301133926532,4100.0,,storage,SIDEBOARD,"Origin: England. Designer: Nils Jonsson. Manufacturer: Troeds. Era: 1960s. Materials: Teak. Measurements: 68.5"" wide x 17"" deep x 31"" tall",68.5,31,17,"1960s, depth:17, england, England - November 2024, englandnov2024, EXPOSED FINGER JOINTS, FINGER, height:31, new, PRE ORDER, restore, restored, sideboard, tambour, teak, wiodth:68.5",Troeds,Nils Jonsson,"https://midcenturymobler.com/cdn/shop/files/DSC_8653.jpg?v=1731650264, https://midcenturymobler.com/cdn/shop/files/DSC_8662.jpg?v=1731650264, https://midcenturymobler.com/cdn/shop/files/DSC_8680.jpg?v=1731650265, https://midcenturymobler.com/cdn/shop/files/DSC_8687.jpg?v=1731650264, https://midcenturymobler.com/cdn/shop/files/DSC_8692.jpg?v=1731650264, https://midcenturymobler.com/cdn/shop/files/DSC_8698.jpg?v=1731650265, https://midcenturymobler.com/cdn/shop/files/DSC_8700.jpg?v=1731650265, https://midcenturymobler.com/cdn/shop/files/DSC_8704.jpg?v=1731650264, https://midcenturymobler.com/cdn/shop/files/DSC_8705.jpg?v=1731650265, https://midcenturymobler.com/cdn/shop/files/DSC_8709.jpg?v=1731650264, https://midcenturymobler.com/cdn/shop/files/DSC_8713.jpg?v=1731650264, https://midcenturymobler.com/cdn/shop/files/DSC_8716.jpg?v=1731650265, https://midcenturymobler.com/cdn/shop/files/DSC_8719.jpg?v=1731650265"
De Sede Ds 86 Lounge Chair In Patinated Brown Leather,7190283485316,3600.0,,seating,LOUNGE CHAIR,"Experience ultimate comfort and style with the de Sede DS 86 lounge chair. Crafted in Switzerland this vintage chair is designed to elevate your space. Perfect for any cool, contemporary interior. de Sede has its origins in a small but skilled saddler's workshop in Klingnau, Switzerland. Sophisticated designs that skilfully integrate traditional and precise Swiss workmanship are what define de Sede furniture. Origin: SwitzerlandDesigner: UnknownManufacturer: De SedeEra: 1970sMaterials: Buffalo LeatherMeasurements: 35.5″ wide x 31.5″ deep x 31.5″ tall Condition: In excellent original condition with typical wear for its vintage.",35.5,31.5,31.5,"1970s, BROWN LEATHER, BUFFALO LEATHER, De Sede, DENMARK - JANUARY 2024, depth:31.5, height:31.5, lounge chair, PRE-ORDER, Switzerland, width:35.5",,,"https://midcenturymobler.com/cdn/shop/files/DA13197.jpg?v=1698166085, https://midcenturymobler.com/cdn/shop/files/DA13197b.jpg?v=1698166086, https://midcenturymobler.com/cdn/shop/files/DA13197c.jpg?v=1698166084, https://midcenturymobler.com/cdn/shop/files/DA13197i.jpg?v=1698166085, https://midcenturymobler.com/cdn/shop/files/DA13197d.jpg?v=1698166087, https://midcenturymobler.com/cdn/shop/files/DA13197e.jpg?v=1698166088, https://midcenturymobler.com/cdn/shop/files/DA13197f.jpg?v=1698166083, https://midcenturymobler.com/cdn/shop/files/DA13197g.jpg?v=1698166085, https://midcenturymobler.com/cdn/shop/files/DA13197h.jpg?v=1698166084, https://midcenturymobler.com/cdn/shop/files/DA13197j.jpg?v=1698166083"
Small Danish Modern Credenza / Record Cabinet In Rosewood,7301131731076,2765.0,,storage,CREDENZA,"Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1960s. Materials: Rosewood. Measurements: 43.5"" wide x 19"" deep x 25"" tall",43.5,25,19,"1960s, cabinet, credenza, danish modern, denmark, depth:19, England - November 2024, englandnov2024, height:25, PRE ORDER, restore, restored, rosewood, width:43.5",,,"https://midcenturymobler.com/cdn/shop/files/DSC_8074-Photoroom.jpg?v=1731559198, https://midcenturymobler.com/cdn/shop/files/DSC_8085-Photoroom.jpg?v=1731559198, https://midcenturymobler.com/cdn/shop/files/DSC_8088-Photoroom.jpg?v=1731559198, https://midcenturymobler.com/cdn/shop/files/DSC_8093-Photoroom.jpg?v=1731559198, https://midcenturymobler.com/cdn/shop/files/DSC_8098-Photoroom.jpg?v=1731559198, https://midcenturymobler.com/cdn/shop/files/DSC_8105-Photoroom.jpg?v=1731559198, https://midcenturymobler.com/cdn/shop/files/DSC_8109-Photoroom.jpg?v=1731559198, https://midcenturymobler.com/cdn/shop/files/DSC_8112-Photoroom.jpg?v=1731559198"
Pair Of Harald Relling Highback Lounge Chairs In Leather + Chrome,6968904941700,3275.0,3865.0,seating,HIGHBACK LOUNGE CHAIRS,"Origin: Norway. Designer: Harald Relling. Manufacturer: Westnofa. Era: 1970s. Materials: Leather, Chrome. Measurements: 29"" wide x 34"" deep x 34"" tall Seat Height: 16.5"" tall Condition: In excellent original condition.",29,34,34,"1970s, 2023, chairs, Chrome, DA12855, Harald Relling, HARALD RELLING HIGHBACK, June2023, Leather, May 2023, Norway, PAIR, PRE-ORDER, sale, Westnofa",Westnofa,Harald Relling,"https://midcenturymobler.com/cdn/shop/products/DA12855.jpg?v=1664016505, https://midcenturymobler.com/cdn/shop/products/DA12855b.jpg?v=1664016511, https://midcenturymobler.com/cdn/shop/products/DA12855c.jpg?v=1664016511"
1940S Swedish Modern Bar Cabinet By Ab Seffle,6710732161156,3400.0,3725.0,storage,Cabinets & Storage,Origin: Sweden. Designer: Unknown. Manufacturer: AB Seffle. Era: 1940s. Materials: Teak. Measurements: 52.75″ wide x 20″ deep x 55″ tall,52.75,55,20,"1940s, ab seffle, BAR CABINET, cabinet, danish, danish modern, depth:20, height:55, modern, October, restored, sale, sweden, teak, width:52.75",AB Seffle,,"https://midcenturymobler.com/cdn/shop/products/DA12300.jpg?v=1642633920, https://midcenturymobler.com/cdn/shop/products/DA12300c.jpg?v=1642633920, https://midcenturymobler.com/cdn/shop/products/DA12300d.jpg?v=1642633920, https://midcenturymobler.com/cdn/shop/products/DA12300e.jpg?v=1642633920, https://midcenturymobler.com/cdn/shop/products/DA12300g.jpg?v=1642633920, https://midcenturymobler.com/cdn/shop/products/DA12300b.jpg?v=1642633920"
Aqua And Salmon Organic Dot Ombre Vase,7254304391300,325.0,,accessories,pottery,"Designed and manufactured by Oakland artist Justin Kiene, these organic planters and vases are inspired by the shapes of the natural and microscopic world. Each piece is hand thrown and glazed, making it unique in tone, shape and finish. Origin: USADesigner: Justin KieneManufacturer: Justin Kiene StudiosEra: 2024Measurements: 4.5"" diameter x 7.75"" tall",4.5,7.75,4.5,"artist, depth:4.5, height:7.75, justin kiene, oakland, organic, planter, pottery, width:4.5",,,"https://midcenturymobler.com/cdn/shop/files/IMG_2976.jpg?v=1713213599, https://midcenturymobler.com/cdn/shop/files/IMG_2976_2d5c3fc7-b909-4cae-861a-f9988dba1fdb.jpg?v=1713213600, https://midcenturymobler.com/cdn/shop/files/IMG_2977.jpg?v=1713213601"
Erling Torvits Brazilian Rosewood Secretary Desk,7015308361860,3275.0,4100.0,storage,SECRETARY DESK,Origin: Denmark. Designer: Erling Torvits. Manufacturer: Klim Møbelfabrik. Era: 1960s. Materials: Rosewood. Measurements: 41″ wide x 18.75″ deep x 47.75″ tall,41,47.75,18.75,"1960s, 2023, BRAZILIAN, DA12965, DANISH MODERN, DENMARK, depth:18.75, DESK, ERLING TORVITS, height:47.75, June2023, Klim Møbelfabrik, May 2023, PRE ORDER, restored, ROSEWOOD, sale, SECRETARY DESK, width:41",Klim Møbelfabrik,Erling Torvits,"https://midcenturymobler.com/cdn/shop/products/DA12965.jpg?v=1667966783, https://midcenturymobler.com/cdn/shop/products/DA12965b.jpg?v=1667966791, https://midcenturymobler.com/cdn/shop/products/DA12965c.jpg?v=1667966791, https://midcenturymobler.com/cdn/shop/products/DA12965d.jpg?v=1667966791"
Illona Loveseat In Patinated Green Leather By Are Norell,6710735536260,4100.0,,seating,Sofas,"Origin: Sweden. Designer: Arne Norell. Manufacturer: Norell Møbler AB. Era: 1960s. Materials: Beech, Leather. Measurements: 58.75″ wide x 31.5″ deep x 29"" tall Condition: In excellent original condition with some vintage wear to the cushions.",58.75,29,31.5,"1960s, 2022, arne norell, beech, denmark, depth:31.5, Illona, ILLONA LOVESEAT, January 2022, leather, loveseat, Norell Møbler AB, PATINATED GREEN, PATINATED GREEN LEATHER, PRE-ORDER, sweden, width:58.75",Norell Møbler AB,Arne Norell,"https://midcenturymobler.com/cdn/shop/products/DA12301.jpg?v=1642634265, https://midcenturymobler.com/cdn/shop/products/DA12301e.jpg?v=1642634265, https://midcenturymobler.com/cdn/shop/products/DA12301d.jpg?v=1642634265, https://midcenturymobler.com/cdn/shop/products/DA12301b.jpg?v=1642634265, https://midcenturymobler.com/cdn/shop/products/DA12301c.jpg?v=1642634265"
Arne Vodder Three Seat Sofa In Teak,6710715711620,6100.0,,seating,seating,"Origin: Denmark. Designer: Arne Vodder. Manufacturer: Glostrup. Era: 1960s. Materials: Teak, Wool. Measurements: 73″ wide x 30″ deep x 30.5″ tall",73,30.5,30,"1960s, arne, arne vodder, ARNE VODDER SOFA, ARNE VODDER THREE SEAT SOFA, denmark, depth:30, glostrup, height:30.5, model, modern, October 2021, PRE-ORDER, restore, restored, seat, sofa, teak, three, three seat, upholstery, vodder, width:73, wool",Glostrup,Arne Vodder,"https://midcenturymobler.com/cdn/shop/products/DA12214.jpg?v=1642632124, https://midcenturymobler.com/cdn/shop/products/DA12214f.jpg?v=1642632124, https://midcenturymobler.com/cdn/shop/products/DA12214b.jpg?v=1642632124, https://midcenturymobler.com/cdn/shop/products/DA12214c.jpg?v=1642632124, https://midcenturymobler.com/cdn/shop/products/DA12214d.jpg?v=1642632124, https://midcenturymobler.com/cdn/shop/products/DA12214e.jpg?v=1642632124"
Danish Modern Square Flip Top Dining Table In Rosewood,7277390528644,3750.0,,tables,DINING TABLE,Origin: Denmark. Designer: Unknown. Manufacturer: Unknown. Era: 1950s. Materials: Rosewood,,,,"1950s, danish, danish modern, mid – late August 2024, new, PRE-ORDER, restore, restored, rosewood, SQUARE FLIP, TOP DINING TABLE",,,"https://midcenturymobler.com/cdn/shop/files/DA13257.jpg?v=1719466004, https://midcenturymobler.com/cdn/shop/files/DA13257b.jpg?v=1719466004"
Ds 44 Armchair In Buffalo Leather By Desede,7218135138436,3500.0,,seating,ARMCHAIR,Origin: SwitzerlandDesigner: UnknownManufacturer: De SedeEra: 1970sMaterials: Buffalo LeatherMeasurements: 34″ wide x 33″ deep x 29″ tall Condition: In excellent original condition with typical wear for its vintage. Later added legs can be easily removed.,34,29,33,"1970s, BUFFALO LEATHER, De Sede, DE SEDE DS44 LOVESEAT, DENMARK - JANUARY 2024, depth:33, height:29, PRE-ORDER, Switzerland, width:34",,,"https://midcenturymobler.com/cdn/shop/files/DA13216b.jpg?v=1705310300, https://midcenturymobler.com/cdn/shop/files/DA13216bb.jpg?v=1705310302, https://midcenturymobler.com/cdn/shop/files/DA13216c.jpg?v=1705310302, https://midcenturymobler.com/cdn/shop/files/DA13216cc.jpg?v=1705310301, https://midcenturymobler.com/cdn/shop/files/DA13216e.jpg?v=1705310301, https://midcenturymobler.com/cdn/shop/files/DA13216d.jpg?v=1705310300"
Teak + Cane Loveseat / Daybed By Peter Hvidt,7198403952772,3650.0,,seating,LOVESEAT,Origin: DenmarkDesigner: Peter HvidtManufacturer: France + SonEra: 1950sDimensions: 63″ wide x 29.5″ deep x 30″ tallSeat: 17″ tallCondition: Frame in excellent original condition. Fabric in good original condition with some fading.,63,30,29.5,"cane, daybed, depth:29.5, france and son, height:30, hvidt, loveseat, peter hvidt, teak, width:63",,,"https://midcenturymobler.com/cdn/shop/files/DSC_6248_c2029f83-be0a-437e-ae03-2b4aeb7157af.jpg?v=1699383877, https://midcenturymobler.com/cdn/shop/files/DSC_6244.jpg?v=1699383878, https://midcenturymobler.com/cdn/shop/files/DSC_6253_b0c9e80a-5c54-4579-a620-d4ece465c56a.jpg?v=1699383879, https://midcenturymobler.com/cdn/shop/files/DSC_6256_e01825c1-6404-44f6-8ee5-62d85dc323a2.jpg?v=1699383880, https://midcenturymobler.com/cdn/shop/files/DSC_6260_7232c6c5-9487-4342-ac19-b52b9738905d.jpg?v=1699383878, https://midcenturymobler.com/cdn/shop/files/DSC_6262_189b1f74-512f-441a-8d92-8bda5feef4fd.jpg?v=1699383876, https://midcenturymobler.com/cdn/shop/files/DSC_6267_40a18902-a372-4999-82f7-943ce2c0650d.jpg?v=1699383881, https://midcenturymobler.com/cdn/shop/files/DSC_6269_23e95a11-bd68-4291-86e1-d26c034881d8.jpg?v=1699383877, https://midcenturymobler.com/cdn/shop/files/DSC_6271_7efac808-6d3e-4a3e-8599-b0f62e085c35.jpg?v=1699383876, https://midcenturymobler.com/cdn/shop/files/DSC_6276_7a5aedf9-b234-4b96-9a2d-d3d869abdd1a.jpg?v=1699383876, https://midcenturymobler.com/cdn/shop/files/DSC_6278_4ccfaecb-fb72-484a-81b3-dacbd425f945.jpg?v=1699383879"
Johannes Sorth Secretary / Bookcase In Brazilian Rosewood,6944349225092,2600.0,,storage,BOOKCASE,"Origin: Denmark. Designer: Johannes Sorth. Manufacturer: Nexø. Era: 1960s. Materials: Rosewood. Measurements: 39.75"" wide x 17.75"" deep x 70.75"" tall",39.75,70.75,17.75,"1960s, 2023, BOOKCASE, BRAZILIAN, DA12800, Denmark, DENMARK - JANUARY 2023, depth:17.75, height:70.75, JANUARY 2023, Johannes Sorth, Nexø, PRE ORDER, restored, Rosewood, SECRETARY, width:39.75",Nexø,Johannes Sorth,"https://midcenturymobler.com/cdn/shop/products/DA12800.jpg?v=1661586773, https://midcenturymobler.com/cdn/shop/products/DA12800b.jpg?v=1661586777"
Italian Modern Rosewood Bookcase By Vittorio Dassi,6710568747140,14000.0,,storage,Cabinets & Storage,"This grand Italian modern bookcase by Vittorio Dassi offers stunning craftsmanship and delightful design details throughout. The large upper hutch offers four locking doors. The interior cabinets feature glass doors with original etched detailing. The center cross beam is inlayed with images displaying scholarly pursuits. The exterior bays, as well as the drawers bellow, are crafted with zigzag rosewood marquetry. Original brass handles grace the lower drawers. Case stands on beautiful exterior mounted legs. In excellent original condition. MEASUREMENTS: 105″ wide x 19.5″ deep x 72″ tall. Interior Glass Bays: 26″ wide x 15″ deep x 41″ tall. Exterior Bays: 21″ wide x 15″ deep x 41″ tall",105,72,19.5,"bookcase, depth:19.5, glass, height:72, hutch, inlay, restored, rosewood, SHELVING, vittorio dassi, width: 105",,,"https://midcenturymobler.com/cdn/shop/products/DSC_6471.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6476_c7eedce5-aff2-4676-939a-082ff1a7ea55.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6480_bbe61474-a05f-4bd6-8024-ac6fdd9fdda8.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6485_f03fa02f-895a-4494-a0ca-4230247cfbc8.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6491_05964383-4f8e-4186-9332-d85478e53c76.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6495_691881a6-1573-4df7-bd0c-ccb94bf530f2.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6498.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6513_19b127be-a332-4a46-921b-59d67b55b99e.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6531_351f2d37-e1bf-4a55-8447-293d5f8fb790.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6540_b2d2a7ec-26e6-4b8f-917b-a5bc84d5f353.jpg?v=1642622889, https://midcenturymobler.com/cdn/shop/products/DSC_6543.jpg?v=1642622893, https://midcenturymobler.com/cdn/shop/products/DSC_6555_bfaeba21-1e16-41f0-83cd-9637f6f8e5eb.jpg?v=1642622893"
"""Varia"" Five Piece Modular Sofa By Gerhard Berg",7125645361284,8500.0,,seating,SEATING,"Origin: Norway. Designer: Gerhard Berg. Manufacturer: Vatne Lenestolfabrikk. Era: 1950s. Materials: Beech, Wool. Measurements: Armed Sections - 24"" wide x 28"" deep x 30"" tall, Armless sections: 22"" wide x 28"" deep x 30"" tall",24,30,28,"1950s, 2023, Beech, DA12038, DANISH MODERN, Denmark, FIVE PIECE, GERHARD BERG, June2023, MODULAR SOFA, NEW SHIPMENT - JUNE 2023, Norway, restored, SEATING, SOFA, SOFAS, VARIA, Vatne Lenestolfabrikk, Wool",Vatne Lenestolfabrikk,Gerhard Berg,"https://midcenturymobler.com/cdn/shop/files/DA12038.jpg?v=1688275255, https://midcenturymobler.com/cdn/shop/files/DA12038b.jpg?v=1688275269, https://midcenturymobler.com/cdn/shop/files/DA12038f.jpg?v=1688275270, https://midcenturymobler.com/cdn/shop/files/DA12038c.jpg?v=1688275270, https://midcenturymobler.com/cdn/shop/files/DA12038d.jpg?v=1688275270, https://midcenturymobler.com/cdn/shop/files/DA12038e.jpg?v=1688275269"
