title,sku,price,retail_price,description,width,depth,height,tags,images
Pair of Tri-plex Floor Lamps from R&B,20287,1146.0,1900.0,"This pair of exclusive Tri-plex floor lamp adds sophistication and architectural interest that blends beautifully with any style. Featuring a Satin brass base, a black cotton shade and a fabric cord.",20,20,13.2,"lamp, pair, gold, floor-lamp, black, shade, light, lightning","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677873926862-FWUFCX2VC02NQMR7EEO4/Pair+of+Tri-plex+Floor+Lamps+fromo+Room+and+Board+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677873927462-3FOEPS2PBERBX5LGFE1A/Pair+of+Tri-plex+Floor+Lamps+fromo+Room+and+Board+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677873927953-PFOQJTGF0NCPOQD039T3/Pair+of+Tri-plex+Floor+Lamps+fromo+Room+and+Board.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677873927041-N94EX89IHZ5IT5VVWAOW/Pair+of+Tri-plex+Floor+Lamps+fromo+Room+and+Board+4.jpg"
Maurice Villency Striped Solid Carpet (9 ft x 5 ft 11 in),20250,696.0,3100.0,"Timeless, classic, and luxurious! The perfect foundation for any room, a soft, plush hand-loomed carpet, with a carved linear design and beautiful red tones adding texture, dimension, and sophisticated style.",,,,"carpet, rug, red, wine, maroon, rouge, handwoven, handknotted","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677872067383-ZG3IUWB58F7J8M8M125D/Maurice+Villency+Striped+Solid+Carpet.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677872068727-96ZAN3AFD5VE8JDY5C7A/Maurice+Villency+Striped+Solid+Carpet+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677872070856-180TVL3LGVR2V2300BDO/Maurice+Villency+Striped+Solid+Carpet+3.jpg"
Vintage French Art Deco Satinwood Cocktail Table C1940s,20233,2196.0,4000.0,"Timeless and elegant cocktail table featuring a satinwood sunburst pattern on its recessed top, supported by an intersecting base that creates a beautiful and sculptural effect.",31,31,19.5,"side-table, coffee-table, cocktail-table, wood, french, france, vintage, art-deco, satinwood","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677709196130-91N6H41URTP8PWWQPDVE/Vintage+French+Art+Deco+Satinwood+Cocktail+Table+C1940s.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677709196017-V2NAOSTPMLMPY2LL54LL/Vintage+French+Art+Deco+Satinwood+Cocktail+Table+C1940s+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677709195963-92U6160QZNUPD0B80S9F/Vintage+French+Art+Deco+Satinwood+Cocktail+Table+C1940s+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677709195927-LUYT1LAJYMO1YH7UF5BG/Vintage+French+Art+Deco+Satinwood+Cocktail+Table+C1940s+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677709196209-QMZ2HW5MSCJ2KJIIQKB5/Vintage+French+Art+Deco+Satinwood+Cocktail+Table+C1940s+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677709195614-Z51AMPXZMZW9IUXMSGLJ/Vintage+French+Art+Deco+Satinwood+Cocktail+Table+C1940s+8.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677709195471-NDPWRXC1Q59E2WSJLPNM/Vintage+French+Art+Deco+Satinwood+Cocktail+Table+C1940s+7.jpg"
Handmade Natural Bone Inlay Jar with Lid,19760,346.0,670.0,This very conceptual design has a mosaic made of natural bone inlay. This decorative jar with their modernist pattern represents a new approach to contemporary design.,9,9,13,"bone, inlay, vase, modern, vintage, black, beige, tan","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708625333-EO031BJ6UKQT4ZHHNSEO/Handmade+Natural+Bone+Inlay+Jar+with+Lid+1.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708625767-9GAW3WHA43GRXTA51B73/Handmade+Natural+Bone+Inlay+Jar+with+Lid+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708626645-2CET31AKZMK71FSL8XK5/Handmade+Natural+Bone+Inlay+Jar+with+Lid.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708625101-NCLVW913WT5629Y44VXJ/Handmade+Natural+Bone+Inlay+Jar+with+Lid+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708624962-UFMXL2KNERUIPVHMNCBQ/Handmade+Natural+Bone+Inlay+Jar+with+Lid+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708626467-MW8LSPDCSN1X3OHJIZ5X/Handmade+Natural+Bone+Inlay+Jar+with+Lid+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708624622-XAQRHLXCQPUH908FHNXE/Handmade+Natural+Bone+Inlay+Jar+with+Lid+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1654708626376-3P1CAUXACNJF4XYZR3OX/Handmade+Natural+Bone+Inlay+Jar+with+Lid+7.jpg"
"Midcentury Italian Crystal & Brass Chandelier by Gaetano Sciolari, C 1960",19566,1896.0,6500.0,"The lighting designs of Italian entrepreneur-designer Angelo Gaetano Sciolari have recently come back into the spotlight, particularly as glamorous 1970s pieces have attracted a new generation of admirers.",25,25,32,"chandelier, mid-century, gaetono-scolari, brass, crystal","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1641415771784-ICWOKQ7CWHVRP9R9AJD6/1960s+Italian+Original+Gaetono+Scolari+Brass+and+Crystal+Chandelier.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1641415772448-LDVZMSA80MES3DJQ4I7M/1960s+Italian+Original+Gaetono+Scolari+Brass+and+Crystal+Chandelier+%284%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1641415772232-SRO9EY5CH6F4HG78QDLS/1960s+Italian+Original+Gaetono+Scolari+Brass+and+Crystal+Chandelier+%286%29.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1641415772259-TK3IEIMTU4HEN05BZFEG/1960s+Italian+Original+Gaetono+Scolari+Brass+and+Crystal+Chandelier+%283%29.jpg"
Vintage French Art Deco Chest of Drawers with Karelian Birch & silvered-bronze pulls. France C 1930's,20235,7146.0,14400.0,"A beautiful Art Deco Chest of Drawer produced in France C1930s in Karelian birch, six gently bowed drawers with lovely silvered-bronze handles.",59,20,31,"vintage, art-deco, french, chest, drawers, dresser, wood, bronze, france, karelian-birch, birch","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703791287-UDI1WMPIIIN4T7VG3ZYV/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703784588-DSZ6I1HQPSLLFII3IV0D/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+9.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703779053-LIGFLEQAT4MNV2OFG9U6/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703785481-FZEJ8EV1YTRI3NLV3D57/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703789688-U0RJ1V5ZW3BYWX329B4E/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703788850-JY6ZUYZTZECIHSY7AVFH/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703776285-TIAE7STC00N122HV61BU/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+8.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703784622-023W2T9F0QK8H22GTHUO/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+10.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677703772835-C529IHJUWY4GMHGG6PT7/Vintage+French+Art+Deco+Chest+of+drawers+with+Karelian+Birch+_+silvered-bronze+pulls.+France+C+1930s+11.jpg"
"John Opper, Untitled (3-1981), 1983",20128,2296.0,5500.0,"Acrylic on paper.John Opper (1908-1994), American Painter born in Chicago, Illinois, best known for his handling of color and his ability to create dramatic intensity on the picture plane by means of juxtaposed, rectangular areas of color, he was also associated with the abstract expressionism movement. Opper expressed that “The whole is the sum of its parts. That’s what my school of abstract art is about, a school that evolver from nature, not conceptual, not geometric, not hard-edged. It’s only art”",30,22,,"paint, painting, art, artwork, drawing, john-opper, acrylic, paper","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663159-BUG7P3PB88MZ7MIZ878M/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663575-RHQRFU0I0KPN9HJMRCEH/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+11.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663585-L11YB79A3UMF6XVS9Q3V/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663608-LMM07INEVD1WSCV6DT6B/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663208-53XKA0KLYDTDT9CYYMZA/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663197-YE44EH2N43OU12TKRAWI/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+8.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663056-4CTPDJEF46S2A8HBL1N8/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663465-W9SMOPN0V3S742M32BKI/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663608-1TOAO7QGNBP0M920E8MW/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+9.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670277663132-HM8W9KEQYLGBV54OUEGG/John+Opper+Untitled+%283-1981%29%2C+1983+Acrylic+on+paper+12.jpg"
"John Opper, Untitled (8-1983), 1983",20127,2196.0,5500.0,"Acrylic on PaperJohn Opper (1908-1994), American Painter born in Chicago, Illinois, best known for his handling of color and his ability to create dramatic intensity on the picture plane by means of juxtaposed, rectangular areas of color, he was also associated with the abstract expressionism movement. Opper expressed that “The whole is the sum of its parts. That’s what my school of abstract art is about, a school that evolver from nature, not conceptual, not geometric, not hard-edged. It’s only art”",30,22,,"art, painting, paint, drawing, contemporary, john-opper, yellow, green, orange","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825554214-U5JCCRSYSEFHI10L48YN/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825555487-FKLT6HNF7FZUPXQMDDSL/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825555530-C3YR4WAJ33A3TI59OBSQ/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825555409-08CVRR743OXVP3ZYG86O/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825554778-7S13FXU0ABV019IKM7EO/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+9.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825554706-H8R2QPZ781W2UB72C0TX/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825555502-PYFLSNR1LHBHYFWP64I6/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+8.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825553903-Y8ZAGMZUUBGZZJGJYQDL/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1669825554202-XQ7PDYGXVJL2SEGMJ7ID/John+Opper+Untitled+%288-1983%29%2C+1983+Acrylic+on+paper+3.jpg"
"Fred Sandback, Variations for Gallery Heiner Friedrich, (Suite of 8), 1971-1973",20108 - 20109 - 20110 - 20111 - 20112 - 20113 - 20114 20115,2656.0,3600.0,"Silkscreen.Fred Sandback (1943-2003), American minimalist conceptual-based sculptor known for his yarn sculptures, drawings, and prints.Can be displayed as a Diptych, Triptych, or as an 8 piece Set.Price per Artwork",21,18,,"paint, painting, art, artwork, drawing, yellow, pencil, lines, geometric","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215119-RMLGRVQVS3FF8D1U541D/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+8+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215820-IAOIOJGNJW7U248G9IGF/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+8+of+8%29%2C+1971+%E2%80%93+1973+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360354120-OARKYXR288XD2MZUITU4/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+1+of+8%29%2C+1971+%E2%80%93+1973+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215463-I7AI1VR240LEV6J8RKWK/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+4+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360355710-D4LBDSUXBEXBYCVMCWZO/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+4+of+8%29%2C+1971+%E2%80%93+1973+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360355622-7CGK2T3711ZHD5UDLGEX/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+4+of+8%29%2C+1971+%E2%80%93+1973+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360353928-U5EJF4AZL4FOFK3FTRJ9/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+1+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360355446-GTDYONP9RYWUKFU2WXVK/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+1+of+8%29%2C+1971+%E2%80%93+1973+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215718-V8XPIAW4PP4YHGTKKF27/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+8+of+8%29%2C+1971+%E2%80%93+1973+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360353594-AY5IP7Q7ADDXXT2PBOB9/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+3+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360355882-KYQUST85AITQTUXMU38U/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+3+of+8%29%2C+1971+%E2%80%93+1973+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215398-6P0SM3W43I168FQ48G8J/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+5+of+8%29%2C+1971+%E2%80%93+1973+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360354967-CJ672PB5NTEECXK87TVZ/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+2+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360355999-UHBNMNNLZFT99C9MGYID/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+2+of+8%29%2C+1971+%E2%80%93+1973+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360354014-CZP1K3Y6H00XDHN5UGR6/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+2+of+8%29%2C+1971+%E2%80%93+1973+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215632-9KJP6GAGPG5O5HF23SRF/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+6+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215652-N4C9999OZDTBX5BIYABQ/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+7+of+8%29%2C+1971+%E2%80%93+1973+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670360356290-PFOLD5D8E4DLY4ORBP2E/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+3+of+8%29%2C+1971+%E2%80%93+1973+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215520-ES78XK5R7KJJ9VZB6N8M/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+7+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215805-ILCK6WGRQQ4CFN4SARAG/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+5+of+8%29%2C+1971+%E2%80%93+1973+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215696-ADTSBT4CUWP57CRVXCRW/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+7+of+8%29%2C+1971+%E2%80%93+1973+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215618-N9MXMF4E9FS5UZYXBHB5/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+5+of+8%29%2C+1971+%E2%80%93+1973.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361214204-NG87ZJZ1908W78AO6KN1/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+8+of+8%29%2C+1971+%E2%80%93+1973+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1670361215681-2ZBL7NKCO3UEHFLEJWJR/Fred+Sandback+Variations+for+Gallery+Heiner+Friedrich+%28Suite+6+of+8%29%2C+1971+%E2%80%93+1973+4.jpg"
Robert Winslow Sculpture; Signed & Dated 1977,20237,5096.0,12500.0,"This hand-carved marble abstract sculpture has a fluid yet still form. The piece showcases a balanced form reflecting and complementing itself on either side. An elegant yet expressive piece that will enhance your contemporary décor with its smooth and gorgeous earthy look.Robert Winslow emerged as a recognized sculptor and painter in the late 1970s. His paintings and sculptures are in the collections of many prominent corporations including McDonald’s Corp., Helene Curtis Corp., The Chicago Board Options Exchange, GATX, Siemens, and Loyola University in Chicago. He is also in several museums including the Los Angeles Museum of Modern Art, Nelson Art Center on the ASU Campus in Tempe, AZ, and public collections including the City of Barrington, IL, Scottsdale Center for the Arts, Scottsdale, AZ. The sculpture is from Tennessee marble.",13,8,21.5,"vintage, robert-winslow, sculpture, gray, abstract","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677687099872-T685O5NGS70L69DHVP2Z/Robert+Winslow+Sculpture+C1970s.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677687100295-A381WEVRG3YWQ56EMJXA/Robert+Winslow+Sculpture+C1970s+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677687099840-00NYSVE7MD0EO98XDKT6/Robert+Winslow+Sculpture+C1970s+4.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677687100285-F2IK4SOZYZ69NPEJTM4B/Robert+Winslow+Sculpture+C1970s+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677687099129-2R287691AQTU6T5TYN67/Robert+Winslow+Sculpture+C1970s+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677687100821-2Q878X4JBOZSNI8HX8F5/Robert+Winslow+Sculpture+C1970s+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677687100757-79SB8VKE6OBL5X9L0CSR/Robert+Winslow+Sculpture+C1970s+6.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1679067334079-FHGQKDQ8DIUJSGHBSLIB/Robert+Winslow+Sculpture+Signed+and+Dated+1977.jpg"
Pair of Nathan Anthony Galaxie Swivel Club Chairs Co-designed with Lauren Mishaan,20214,5396.0,11200.0,"A very beautiful shape that captures the eye, the Galaxie swivel chair is sure to delight any room style. Co-designed with Lauren Mishaan.These award-winning chairs are made of kiln-dried Alder wood from sustainably harvested forests, recycled sinuous no-sag spring seating or recycled webbed seating, doweled, glued and corner-blocked joinery, high resiliency foam 2.5 pound.",32,31,27.5,"armchairs, swivel, swivel-chairs, gray, grey, white, cream, velvet, soft, pair, chair, nathan-anthony, club-chairs, lauren-mishaan","https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176544176-6X8O7JK734SWSRFV0JLJ/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+2.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176543848-2A2PXSYYBEYBH3IR8YZ9/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+3.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176544138-BT2GVJGVY9C4JT54TS9R/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176543866-C1JCRJ9UYXFKHGAEPPD6/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+5.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176543739-AVUM8U1YAPEVPO4LFSPC/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+7.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176544333-992MTRX2Z5FUQA2XU3HM/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+9.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176544439-6FK13LR2ANBLAYBZUJZ5/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+11.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176544160-EC8GOB80U2WBST1Y3VJ5/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+10.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176543836-WUMKNP9O9HDQM9XXU7U7/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+15.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176544465-LDB8N5WG0K3HFP28O7R3/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+16.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176545533-U7FAFL31ZZMN4CTYBFD8/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+13.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176545554-YU0UISABF7N9DUCNJL80/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+14.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176543798-H6YNNB41H0JIB0IE0JJ6/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+12.jpg, https://images.squarespace-cdn.com/content/v1/5f8da79cf4a5e43bb750dc5f/1677176545472-VN4QCGNPF9FOJZ1HHIZ8/Pair+of+Nathan+Anthony+Galaxie+Swivel+Club+Chairs+Co-designed+with+Lauren+Mishaan+17.jpg"
